Rank,Word,Is_Compound,Token_Count,Frequency_Score
771,mẫu,False,1,5.46
772,nghiệm,False,1,5.46
773,nghỉ,False,1,5.46
774,nguy,False,1,5.46
775,ninh,False,1,5.46
776,phiên,False,1,5.46
777,phó,False,1,5.46
778,thuận,False,1,5.46
779,thôi,False,1,5.46
780,thất,False,1,5.46
781,xảy,False,1,5.46
782,tàu điện,True,1,5.46
783,mặt trời,True,1,5.46
784,chắn,False,1,5.45
785,cải,False,1,5.45
786,dấu,False,1,5.45
787,luận,False,1,5.45
788,môn,False,1,5.45
789,tôn,False,1,5.45
790,xe khách,True,1,5.45
791,biên,False,1,5.44
792,bước,False,1,5.44
793,căn,False,1,5.44
794,giai,False,1,5.44
795,kiểu,False,1,5.44
796,nông,False,1,5.44
797,quần,False,1,5.44
798,thú,False,1,5.44
799,thử,False,1,5.44
800,tức,False,1,5.44
801,đọc,False,1,5.44
802,bàn tay,True,1,5.44
803,tìm kiếm,True,1,5.44
804,thư viện,True,1,5.44
805,bổ,False,1,5.43
806,chiều,False,1,5.43
807,càng,False,1,5.43
808,lâm,False,1,5.43
809,ngồi,False,1,5.43
810,phổ,False,1,5.43
811,thơ,False,1,5.43
812,vai,False,1,5.43
813,vua,False,1,5.43
814,lạc quan,True,1,5.43
815,quay lại,True,2,5.43
816,hàng tuần,True,2,5.43
817,bí,False,1,5.42
818,bảng,False,1,5.42
819,kia,False,1,5.42
820,lộ,False,1,5.42
821,phi,False,1,5.42
822,thưởng,False,1,5.42
823,thấp,False,1,5.42
824,đề nghị,True,1,5.42
825,đồ uống,True,2,5.42
826,bệnh viện,True,1,5.42
827,thời tiết,True,1,5.42
828,bánh,False,1,5.41
829,huy,False,1,5.41
830,khởi,False,1,5.41
831,lai,False,1,5.41
832,mức,False,1,5.41
833,sai,False,1,5.41
834,sớm,False,1,5.41
835,toán,False,1,5.41
836,môn học,True,2,5.41
837,chấp,False,1,5.4
838,cấu,False,1,5.4
839,da,False,1,5.4
840,gửi,False,1,5.4
841,ngữ,False,1,5.4
842,nha,False,1,5.4
843,niên,False,1,5.4
844,thầy,False,1,5.4
845,tố,False,1,5.4
846,kết thúc,True,1,5.4
847,mạng xã hội,True,2,5.4
848,giáo dục,True,1,5.4
849,giang,False,1,5.39
850,giác,False,1,5.39
851,giết,False,1,5.39
